id,source_id,content_type,category,subject,content_data,content_html,source,timestamp,created_at,updated_at,entity_type,entity_value
550e8400-e29b-41d4-a716-446655440000,msg_001,TEXT,MEETING,Team Standup Tomorrow,Hi team, we have our weekly standup tomorrow at 10 AM. Please prepare your updates. John will be presenting the Q3 results.,<p>Hi team, we have our weekly standup tomorrow at 10 AM. Please prepare your updates. John will be presenting the Q3 results.</p>,TELEGRAM,2025-01-15T09:30:00Z,2025-01-15T09:30:00Z,2025-01-15T09:30:00Z,DATE,2025-01-16
550e8400-e29b-41d4-a716-446655440000,msg_001,TEXT,MEETING,Team Standup Tomorrow,Hi team, we have our weekly standup tomorrow at 10 AM. Please prepare your updates. John will be presenting the Q3 results.,<p>Hi team, we have our weekly standup tomorrow at 10 AM. Please prepare your updates. John will be presenting the Q3 results.</p>,TELEGRAM,2025-01-15T09:30:00Z,2025-01-15T09:30:00Z,2025-01-15T09:30:00Z,CONTACT,John
550e8400-e29b-41d4-a716-446655440000,msg_001,TEXT,MEETING,Team Standup Tomorrow,Hi team, we have our weekly standup tomorrow at 10 AM. Please prepare your updates. John will be presenting the Q3 results.,<p>Hi team, we have our weekly standup tomorrow at 10 AM. Please prepare your updates. John will be presenting the Q3 results.</p>,TELEGRAM,2025-01-15T09:30:00Z,2025-01-15T09:30:00Z,2025-01-15T09:30:00Z,KEYWORD,standup
550e8400-e29b-41d4-a716-446655440000,msg_001,TEXT,MEETING,Team Standup Tomorrow,Hi team, we have our weekly standup tomorrow at 10 AM. Please prepare your updates. John will be presenting the Q3 results.,<p>Hi team, we have our weekly standup tomorrow at 10 AM. Please prepare your updates. John will be presenting the Q3 results.</p>,TELEGRAM,2025-01-15T09:30:00Z,2025-01-15T09:30:00Z,2025-01-15T09:30:00Z,KEYWORD,Q3 results
550e8400-e29b-41d4-a716-446655440001,email_002,TEXT,TASK,Project Alpha Deadline,The Project Alpha deadline has been moved to next Friday. Sarah needs to review the final deliverables. Contact her at sarah.johnson@company.com for any questions.,<div>The Project Alpha deadline has been moved to next Friday. Sarah needs to review the final deliverables. Contact her at sarah.johnson@company.com for any questions.</div>,EMAIL,2025-01-15T14:20:00Z,2025-01-15T14:20:00Z,2025-01-15T14:20:00Z,DATE,2025-01-24
550e8400-e29b-41d4-a716-446655440001,email_002,TEXT,TASK,Project Alpha Deadline,The Project Alpha deadline has been moved to next Friday. Sarah needs to review the final deliverables. Contact her at sarah.johnson@company.com for any questions.,<div>The Project Alpha deadline has been moved to next Friday. Sarah needs to review the final deliverables. Contact her at sarah.johnson@company.com for any questions.</div>,EMAIL,2025-01-15T14:20:00Z,2025-01-15T14:20:00Z,2025-01-15T14:20:00Z,CONTACT,Sarah
550e8400-e29b-41d4-a716-446655440001,email_002,TEXT,TASK,Project Alpha Deadline,The Project Alpha deadline has been moved to next Friday. Sarah needs to review the final deliverables. Contact her at sarah.johnson@company.com for any questions.,<div>The Project Alpha deadline has been moved to next Friday. Sarah needs to review the final deliverables. Contact her at sarah.johnson@company.com for any questions.</div>,EMAIL,2025-01-15T14:20:00Z,2025-01-15T14:20:00Z,2025-01-15T14:20:00Z,EMAIL,sarah.johnson@company.com
550e8400-e29b-41d4-a716-446655440001,email_002,TEXT,TASK,Project Alpha Deadline,The Project Alpha deadline has been moved to next Friday. Sarah needs to review the final deliverables. Contact her at sarah.johnson@company.com for any questions.,<div>The Project Alpha deadline has been moved to next Friday. Sarah needs to review the final deliverables. Contact her at sarah.johnson@company.com for any questions.</div>,EMAIL,2025-01-15T14:20:00Z,2025-01-15T14:20:00Z,2025-01-15T14:20:00Z,KEYWORD,Project Alpha
550e8400-e29b-41d4-a716-446655440002,msg_003,VOICE,INFORMATION,Meeting Notes,Just finished the client meeting. They're happy with the progress. We need to schedule a follow-up call next week. Mike from marketing will join us.,<p>Just finished the client meeting. They're happy with the progress. We need to schedule a follow-up call next week. Mike from marketing will join us.</p>,TELEGRAM,2025-01-15T16:45:00Z,2025-01-15T16:45:00Z,2025-01-15T16:45:00Z,CONTACT,Mike
550e8400-e29b-41d4-a716-446655440002,msg_003,VOICE,INFORMATION,Meeting Notes,Just finished the client meeting. They're happy with the progress. We need to schedule a follow-up call next week. Mike from marketing will join us.,<p>Just finished the client meeting. They're happy with the progress. We need to schedule a follow-up call next week. Mike from marketing will join us.</p>,TELEGRAM,2025-01-15T16:45:00Z,2025-01-15T16:45:00Z,2025-01-15T16:45:00Z,KEYWORD,client meeting
550e8400-e29b-41d4-a716-446655440002,msg_003,VOICE,INFORMATION,Meeting Notes,Just finished the client meeting. They're happy with the progress. We need to schedule a follow-up call next week. Mike from marketing will join us.,<p>Just finished the client meeting. They're happy with the progress. We need to schedule a follow-up call next week. Mike from marketing will join us.</p>,TELEGRAM,2025-01-15T16:45:00Z,2025-01-15T16:45:00Z,2025-01-15T16:45:00Z,KEYWORD,follow-up call
550e8400-e29b-41d4-a716-446655440003,email_004,TEXT,IDEA,New Feature Suggestion,Hey team, I had an idea for a new feature. What if we add a dark mode option to the mobile app? I think users would love it. Let me know your thoughts!,<p>Hey team, I had an idea for a new feature. What if we add a dark mode option to the mobile app? I think users would love it. Let me know your thoughts!</p>,EMAIL,2025-01-15T18:10:00Z,2025-01-15T18:10:00Z,2025-01-15T18:10:00Z,KEYWORD,dark mode
550e8400-e29b-41d4-a716-446655440003,email_004,TEXT,IDEA,New Feature Suggestion,Hey team, I had an idea for a new feature. What if we add a dark mode option to the mobile app? I think users would love it. Let me know your thoughts!,<p>Hey team, I had an idea for a new feature. What if we add a dark mode option to the mobile app? I think users would love it. Let me know your thoughts!</p>,EMAIL,2025-01-15T18:10:00Z,2025-01-15T18:10:00Z,2025-01-15T18:10:00Z,KEYWORD,mobile app
550e8400-e29b-41d4-a716-446655440004,msg_005,TEXT,SPAM,Win a Free iPhone!,Congratulations! You've won a free iPhone! Click here to claim your prize now! Limited time offer!,<p>Congratulations! You've won a free iPhone! Click here to claim your prize now! Limited time offer!</p>,TELEGRAM,2025-01-15T20:30:00Z,2025-01-15T20:30:00Z,2025-01-15T20:30:00Z,KEYWORD,free iPhone
550e8400-e29b-41d4-a716-446655440005,email_006,TEXT,OTHER,Weekly Newsletter,Here's your weekly newsletter with the latest updates from our team. Check out the new blog post about AI trends.,<div>Here's your weekly newsletter with the latest updates from our team. Check out the new blog post about AI trends.</div>,EMAIL,2025-01-16T08:00:00Z,2025-01-16T08:00:00Z,2025-01-16T08:00:00Z,KEYWORD,newsletter
550e8400-e29b-41d4-a716-446655440005,email_006,TEXT,OTHER,Weekly Newsletter,Here's your weekly newsletter with the latest updates from our team. Check out the new blog post about AI trends.,<div>Here's your weekly newsletter with the latest updates from our team. Check out the new blog post about AI trends.</div>,EMAIL,2025-01-16T08:00:00Z,2025-01-16T08:00:00Z,2025-01-16T08:00:00Z,KEYWORD,AI trends 
